"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08"
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-13",,,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-14","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-15","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-16","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-17","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-18","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-19","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-20","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-21","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-22","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-23","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-24","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-25","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-26","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-27","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-28","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-29","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-09-30","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-01","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-02","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-03","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-04","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-05","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-06","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-07","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-08","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-09","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-10","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-18",,,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-19","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-20","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-21","0.00",,,,,,,
"US1CASA0051","SACRAMENTO 4.3 ENE, CA US","2020-10-22","0.00",,,,,,,
